*id	title	year	
193	'Million Dollar Baby'	2004	
194	'Ben-Hur'	1959	
195	'Touch of Evil'	1958	
196	'Wild Tales'	2014	
197	'Annie Hall'	1977	
198	'The Grapes of Wrath'	1940	
199	'Hachi: A Dog s Tale'	2009	
200	'Nausicaä of the Valley of the Wind'	1984	
201	'Stalker'	1979	
202	'Jurassic Park'	1993	
203	'Diabolique'	1955	
204	'Gandhi'	1982	
205	'The Bourne Ultimatum'	2007	
206	'Before Sunrise'	1995	
207	'Donnie Darko'	2001	
208	'8½'	1963	
209	'Memories of Murder'	2003	
210	'The Truman Show'	1998	
211	'Rocky'	1976	
212	'The Wizard of Oz'	1939	
213	'The Best Years of Our Lives'	1946	
214	'The Terminator'	1984	
215	'Monsters, Inc.'	2001	
216	'Twelve Monkeys'	1995	
217	'Harry Potter and the Deathly Hallows: Part 2'	2011	
218	'Sin City'	2005	
219	'Groundhog Day'	1993	
220	'Strangers on a Train'	1951	
221	'Infernal Affairs'	2002	
222	'Jaws'	1975	
223	'La Haine'	1995	
224	'The Battle of Algiers'	1966	
225	'Barry Lyndon'	1975	
226	'Prisoners'	2013	
227	'The Martian'	2015	
228	'Dog Day Afternoon'	1975	
229	'Ip Man'	2008	
230	'Fanny and Alexander'	1982	
231	'The Imitation Game'	2014	
232	'The Avengers'	2012	
233	'Pirates of the Caribbean: The Curse of the Black Pearl'	2003	
234	'Catch Me If You Can'	2002	
235	'The King s Speech'	2010	
236	'The Help'	2011	
237	'A Fistful of Dollars'	1964	
238	'Guardians of the Galaxy'	2014	
239	'Throne of Blood'	1957	
240	'Castle in the Sky'	1986	
241	'Roman Holiday'	1953	
242	'High Noon'	1952	
243	'Beauty and the Beast'	1991	
244	'In the Mood for Love'	2000	
245	'Who s Afraid of Virginia Woolf?'	1966	
246	'Gangs of Wasseypur'	2012	
247	'The Man Who Shot Liberty Valance'	1962	
248	'Notorious'	1946	
249	'Lagaan: Once Upon a Time in India'	2001	
250	'Paris, Texas'	1984	
